Read,Owned,Published,Title,Type,Available In,Hardcover,Paperback,Ebook,Audiobook,Movie,Miniseries
,,1985-06-01,"=HYPERLINK(""https://www.stephenking.com/works/short/cain-rose-up.html"", ""Cain Rose Up"")",Short Story,,,,,,,
,,1985-06-01,"=HYPERLINK(""https://www.stephenking.com/works/short/gramma.html"", ""Gramma"")",Short Story,,,,,,,
,,1985-06-01,"=HYPERLINK(""https://www.stephenking.com/works/short/here-there-be-tygers.html"", ""Here There Be Tygers"")",Short Story,,,,,,,
,,1985-06-01,"=HYPERLINK(""https://www.stephenking.com/works/short/jaunt.html"", ""The Jaunt"")",Short Story,,,,,,,
,,1985-06-01,"=HYPERLINK(""https://www.stephenking.com/works/short/man-who-would-not-shake-hands.html"", ""The Man Who Would Not Shake Hands"")",Short Story,,,,,,,
,,1985-06-01,"=HYPERLINK(""https://www.stephenking.com/works/short/monkey.html"", ""The Monkey"")",Short Story,,,,,,,
,,1985-06-01,"=HYPERLINK(""https://www.stephenking.com/works/short/morning-deliveries-(milkman-1).html"", ""Morning Deliveries Milkman 1"")",Short Story,,,,,,,
,,1985-06-01,"=HYPERLINK(""https://www.stephenking.com/works/short/mrs-todds-shortcut.html"", ""Mrs. Todd's Shortcut"")",Short Story,,,,,,,
,,1985-06-01,"=HYPERLINK(""https://www.stephenking.com/works/short/nona.html"", ""Nona"")",Short Story,,,,,,,
,,1985-06-01,"=HYPERLINK(""https://www.stephenking.com/works/short/raft.html"", ""The Raft"")",Short Story,"=HYPERLINK(""https://www.stephenking.com/works/movie/creepshow-2.html"", ""Creepshow 2(Movie)"")",,,,,✓,
,,1985-06-01,"=HYPERLINK(""https://www.stephenking.com/works/short/reach.html"", ""The Reach"")",Short Story,,,,,,,
,,1985-06-01,"=HYPERLINK(""https://www.stephenking.com/works/short/reapers-image.html"", ""The Reaper's Image"")",Short Story,,,,,,,
,,1985-06-01,"=HYPERLINK(""https://www.stephenking.com/works/short/survivor-type.html"", ""Survivor Type"")",Short Story,,,,,,,
,,1985-06-01,"=HYPERLINK(""https://www.stephenking.com/works/short/uncle-ottos-truck.html"", ""Uncle Otto's Truck"")",Short Story,,,,,,,
,,1985-06-01,"=HYPERLINK(""https://www.stephenking.com/works/short/wedding-gig.html"", ""The Wedding Gig"")",Short Story,,,,,,,
,,1985-06-01,"=HYPERLINK(""https://www.stephenking.com/works/short/word-processor-of-the-gods.html"", ""Word Processor of the Gods"")",Short Story,,,,,,,
,,1985-07-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/new-terrors-omnibus.html"", ""New Terrors Omnibus"")",Anthology,,,✓,,,,
,,1985-10-01,"=HYPERLINK(""https://www.stephenking.com/works/novel/bachman-books.html"", ""The Bachman Books"")",Bachman Novel,,✓,✓,,,,
,,1985-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/new-adventures-of-sherlock-holmes.html"", ""New Adventures of Sherlock Holmes"")",Anthology,,,✓,,,,
,,1985-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/strange-maine.html"", ""Strange Maine"")",Anthology,,,✓,,,,
