Title,Published,Type,Available In,Hardcover,Paperback,Ebook,Audiobook,Movie,Miniseries
"=HYPERLINK(""https://www.stephenking.com/works/poem/for-owen.html"", ""For Owen"")",1985-06-01,Poem,"=HYPERLINK(""https://www.stephenking.com/works/collection/skeleton-crew.html"", ""Skeleton Crew"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/poem/paranoid-a-chant.html"", ""Paranoid: A Chant"")",1985-06-01,Poem,"=HYPERLINK(""https://www.stephenking.com/works/collection/skeleton-crew.html"", ""Skeleton Crew"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/ballad-of-the-flexible-bullet.html"", ""The Ballad of the Flexible Bullet"")",1985-06-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/skeleton-crew.html"", ""Skeleton Crew"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/beachworld.html"", ""Beachworld"")",1985-06-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/skeleton-crew.html"", ""Skeleton Crew"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/big-wheels-a-tale-of-the-laundry-game-(milkman-2).html"", ""Big Wheels: A Tale of the Laundry Game"")",1985-06-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/skeleton-crew.html"", ""Skeleton Crew"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/cain-rose-up.html"", ""Cain Rose Up"")",1985-06-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/skeleton-crew.html"", ""Skeleton Crew"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/gramma.html"", ""Gramma"")",1985-06-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/skeleton-crew.html"", ""Skeleton Crew"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/here-there-be-tygers.html"", ""Here There Be Tygers"")",1985-06-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/skeleton-crew.html"", ""Skeleton Crew"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/jaunt.html"", ""The Jaunt"")",1985-06-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/skeleton-crew.html"", ""Skeleton Crew"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/man-who-would-not-shake-hands.html"", ""The Man Who Would Not Shake Hands"")",1985-06-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/skeleton-crew.html"", ""Skeleton Crew"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/monkey.html"", ""The Monkey"")",1985-06-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/skeleton-crew.html"", ""Skeleton Crew"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/morning-deliveries-(milkman-1).html"", ""Morning Deliveries"")",1985-06-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/skeleton-crew.html"", ""Skeleton Crew"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/mrs-todds-shortcut.html"", ""Mrs. Todd's Shortcut"")",1985-06-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/skeleton-crew.html"", ""Skeleton Crew"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/nona.html"", ""Nona"")",1985-06-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/skeleton-crew.html"", ""Skeleton Crew"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/raft.html"", ""The Raft"")",1985-06-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/skeleton-crew.html"", ""Skeleton Crew"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/reach.html"", ""The Reach"")",1985-06-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/skeleton-crew.html"", ""Skeleton Crew"")",,,,,,
